Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
52.5,1.2686918728699966e-15,1.146074298864481e-17,3.1574888746460435e-18,2.6396593711645252e-15,3.397791319866079e-18
53.0,1.103664083218406e-15,1.0382622589855742e-17,2.8791428875511553e-18,2.283738619241336e-15,3.1158203462826422e-18
53.5,9.571914435475404e-16,9.371186953252795e-18,2.615432313181448e-18,1.97002307492698e-15,2.8460626558081755e-18
54.0,8.277078281976772e-16,8.427863931987168e-18,2.3671475274539937e-18,1.6945591747864593e-15,2.5897469602710065e-18
54.5,7.136834957960777e-16,7.552947973637616e-18,2.1347645175349662e-18,1.4535687323016327e-15,2.3477616135630757e-18
55.0,6.136452585987284e-16,6.7457591449926274e-18,1.9184799881714575e-18,1.2434821639985224e-15,2.120683992446115e-18
55.5,5.261916178965971e-16,6.004799228646923e-18,1.7182474779579613e-18,1.0609608316499823e-15,1.908812725788502e-18
56.0,4.500034852441515e-16,5.327901188723998e-18,1.533813348564533e-18,9.029101583979405e-16,1.712201435392046e-18
56.5,3.838511092663328e-16,4.712369176572856e-18,1.3647517126277592e-18,7.664850906120333e-16,1.5306928321667817e-18
57.0,3.2659780701232587e-16,4.1551070529991346e-18,1.2104975638538207e-18,6.490893584786446e-16,1.3639522005197473e-18
57.5,2.772010628473347e-16,3.652734123644665e-18,1.0703775590966657e-18,5.483698488314463e-16,1.2114994922421396e-18
58.0,2.3471151157521786e-16,3.2016874081881832e-18,9.436380718626784e-19,4.622072535844455e-16,1.0727394316202299e-18
58.5,1.9827026996930223e-16,2.7983102880721756e-18,8.294702866942196e-19,3.887040042657662e-16,9.469892005203864e-19
59.0,1.671050255074781e-16,2.4389278025074186e-18,7.270322325312905e-19,3.2617035366514624e-16,8.3350342207390145e-19
59.5,1.405252355039871e-16,2.1199091934840718e-18,6.354677600172143e-19,2.731093239427554e-16,7.314962920864655e-19
60.0,1.1791673600550005e-16,1.8377185451117775e-18,5.539225533576966e-19,2.282011097315671e-16,6.401608174714753e-19
60.5,9.873600921116771e-17,1.5889545302984952e-18,4.815573330578565e-19,1.9028740665614753e-16,5.586852109454063e-19
61.0,8.250431174407373e-17,1.3703803789971597e-18,4.175584534579013e-19,1.583560311968848e-16,4.862665618193741e-19
61.5,6.88018244077078e-17,1.1789452277233927e-18,3.61146130592883e-19,1.3152610712267553e-16,4.2212195544910744e-19
62.0,5.72619473516548e-17,1.0117980102568123e-18,3.115805537977017e-19,1.0903401641762912e-16,3.6549725062810565e-19
62.5,4.7565832846735356e-17,8.662950142331093e-19,2.6816614096959296e-19,9.022024796731771e-17,3.156737470068477e-19
63.0,3.943722095107854e-17,7.400021666697435e-19,2.302541947114536e-19,7.451722421811432e-17,2.719729856554963e-19
63.5,3.263762092779202e-17,6.306930312468167e-19,1.9724420678182444e-19,6.143814339996397e-17,2.33759927290209e-19
64.0,2.6961862962929543e-17,5.363434081619016e-19,1.6858404323996836e-19,5.0566841464718746e-17,2.0044474647401376e-19
64.5,2.223403009489694e-17,4.55123329237229e-19,1.4376922403538601e-19,4.154865239533954e-17,1.714834681336603e-19
65.0,1.8303768852010308e-17,3.8538714123765293e-19,1.2234148994644162e-19,3.408222678953123e-17,1.4637765665063043e-19
65.5,1.5042968457020405e-17,3.256622726116596e-19,1.0388682787870196e-19,2.791225549801084e-17,1.246733490113633e-19
66.0,1.2342792169590992e-17,2.746371857481624e-19,8.803310351803641e-20,2.282303658566077e-17,1.0595940323544575e-19
66.5,1.0111040004119569e-17,2.3114893021713887e-19,7.444742891468926e-20,1.863281907677384e-17,8.986541251731302e-20
67.0,8.269819322063397e-18,1.941706335355763e-19,6.283337228362596e-20,1.518885505071303e-17,7.605931498718842e-20
67.5,6.753498336400122e-18,1.627991954270459e-19,5.2928098512506595e-20,1.2363091990581065e-17,6.424480930430441e-20
68.0,5.506917103235023e-18,1.362433895407656e-19,4.44995118038287e-20,1.0048439279840077e-17,5.415866785959952e-20
68.5,4.4838308739454425e-18,1.1381252304310675e-19,3.7343456661928135e-20,8.155545912793914e-18,4.556802246534905e-20
69.0,3.645561540269838e-18,9.4905759019548e-20,3.128102009900931e-20,6.610030444940754e-18,3.8267682207898934e-20
69.5,2.9598341585180797e-18,7.900216868141371e-20,2.6155966438799958e-20,5.350108646531278e-18,3.2077529704549725e-20
70.0,2.399777052655041e-18,6.565154930060685e-20,2.1832326352817723e-20,4.324568992603932e-18,2.684003033029368e-20
70.5,1.9430656616693758e-18,5.446601887734315e-20,1.8192153648584566e-20,3.491050837998658e-18,2.2417879002333028e-20
71.0,1.57119203019794e-18,4.51123790404917e-20,1.513345669534919e-20,2.814584747090135e-18,1.869180072792705e-20
71.5,1.2688435786534699e-18,3.7305222857665464e-20,1.2568306063331908e-20,2.266358875546841e-18,1.555851420538668e-20
72.0,1.0233764826493108e-18,3.080075339552338e-20,1.0421115806255326e-20,1.8226794677302633e-18,1.2928862174672503e-20
72.5,8.243706076454827e-19,2.5391271370796812e-20,8.627092676025736e-21,1.4640973963754218e-18,1.0726107792032087e-20
73.0,6.632544609036675e-19,2.0900285478062452e-20,7.130845272502756e-21,1.1746762088607474e-18,8.884392901504137e-21
73.5,5.329900253262225e-19,1.71781964427924e-20,5.885143560640518e-21,9.413803498140587e-19,7.347351549155611e-21
74.0,4.2780862173881356e-19,1.4098505063541292e-20,4.849818204820999e-21,7.535651074178307e-19,6.066870296597962e-21
74.5,3.4299010605955957e-19,1.1554495074176706e-20,3.990788662450794e-21,6.02552393036082e-19,5.001985712758688e-21
75.0,2.7467874784033105e-19,9.456343234670743e-21,3.2792088462310812e-21,4.812787286225037e-19,4.11790874363459e-21
75.5,2.197300618687809e-19,7.728611361551163e-21,2.6907193208645754e-21,3.8400380514697936e-19,3.3851653784165326e-21
